preset_id,major,minor,split,gen
rcp_0001f94f36ca4af3,撞色暖调,撞色暖调_06,train,0
rcp_00049c22dbcc8100,暖调复古,暖调复古_01,train,0
rcp_000ab516cea38d2d,暖调品红,暖调品红_01,train,0
rcp_00131211560b70a0,高亮暖调,高亮暖调_02,train,0
rcp_001ccbb889a83b48,胶片复古,胶片复古_04,train,0
rcp_0037caf13026e7bd,暖调高亮,暖调高亮_00,train,0
rcp_00481c76fe68bf96,青橙胶片,青橙胶片_00,train,0
rcp_004bfeaa41b883aa,青橙胶片,青橙胶片_00,train,0
rcp_00654f9ed41b5af9,青绿胶片,青绿胶片_01,train,0
rcp_006f3ff28b0666d0,青橙胶片,青橙胶片_00,train,0
rcp_007cada749ef839a,压暗胶片,压暗胶片_02,train,0
rcp_007d9c9371df91e4,复古胶片,复古胶片_03,train,0
rcp_008509b72201116d,暖调胶片,暖调胶片_05,train,0
rcp_00a161462de0e02f,黑白全色相,黑白全色相_00,train,0
rcp_00ac3c3d45c8b120,青橙胶片,青橙胶片_00,train,0
rcp_00bdb2d3f7a368be,撞色暖调,撞色暖调_06,train,0
rcp_00c0860416c4cab8,复古暖调,复古暖调_00,train,0
rcp_00c592344da8db14,高亮清透,高亮清透_01,train,0
rcp_00d632f634b6b5f4,复古胶片,复古胶片_03,train,0
rcp_00da1d2aafd96b46,低饱和复古,低饱和复古_03,train,0
rcp_00f725acb5359353,高亮清透,高亮清透_01,train,0
rcp_01063745abac3831,胶片复古,胶片复古_04,train,0
rcp_0107eab55151223d,暖调复古,暖调复古_00,train,0
rcp_015c910fb65b41df,暖调复古,暖调复古_01,train,0
rcp_0163527c7e942045,高亮复古,高亮复古_06,train,0
rcp_0176945131c93841,青橙胶片,青橙胶片_01,train,0
rcp_018df64cdf6a14c6,胶片复古,胶片复古_04,train,0
rcp_01915eabad6dd492,高亮青橙,高亮青橙_07,train,0
rcp_01a747794841fe12,青橙复古,青橙复古_02,train,0
rcp_01bc82ec8c7cf3cc,青橙低饱和,青橙低饱和_06,train,0
rcp_01c9f3f55411da9d,复古胶片,复古胶片_03,train,0
rcp_01d037fde31438a5,青橙胶片,青橙胶片_01,train,0
rcp_01fc3f2e7cfdbd8a,胶片青橙,胶片青橙_04,train,0
rcp_0201d5e81b561379,低饱和复古,低饱和复古_03,train,0
rcp_020b0bfe70d67aa3,暖调胶片,暖调胶片_05,train,0
rcp_020c3717137c915b,青橙复古,青橙复古_07,train,0
rcp_021195648aec3320,压暗胶片,压暗胶片_02,train,0
rcp_021c5d0ea21f1642,黑白全色相,黑白全色相_01,train,0
rcp_02285b6de42b30d1,暖调复古,暖调复古_01,train,0
rcp_022fe3a0198ec322,低饱和复古,低饱和复古_03,train,0
rcp_0230223710387057,青绿高亮,青绿高亮_02,train,0
rcp_0234f98070b38b26,冷调复古,冷调复古_03,train,0
rcp_0236dd6b620ec1ff,高亮青橙,高亮青橙_07,train,0
rcp_023b0747dcf3dcdc,撞色暖调,撞色暖调_06,train,0
rcp_02b4d4d2648b0ace,高亮清透,高亮清透_01,train,0
rcp_02b926d20f1d5497,青橙胶片,青橙胶片_00,train,0
rcp_02be1175eab93d07,青橙胶片,青橙胶片_01,train,0
rcp_02c1255ed43b5162,胶片复古,胶片复古_04,train,0
rcp_02c9cbc5a0d61682,青橙胶片,青橙胶片_01,train,0
rcp_02e78e9ae9896e1b,暖调胶片,暖调胶片_05,train,0
rcp_03086e85ac69468d,暖调品红,暖调品红_06,train,0
rcp_032c8fb7ed480577,暖调复古,暖调复古_04,train,0
rcp_034446fbc32d1e1c,胶片复古,胶片复古_04,train,0
rcp_036c484fec38b981,胶片复古,胶片复古_04,train,0
