source_id,split,pool
ppr10k_0001_a,train,ppr10k
ppr10k_0003_a,train,ppr10k
ppr10k_0006_a,train,ppr10k
ppr10k_0007_a,train,ppr10k
ppr10k_0008_a,train,ppr10k
ppr10k_0012_a,train,ppr10k
ppr10k_0017_a,train,ppr10k
ppr10k_0019_a,train,ppr10k
ppr10k_0031_a,train,ppr10k
ppr10k_0038_a,train,ppr10k
ppr10k_0039_a,test,ppr10k
ppr10k_0040_a,train,ppr10k
ppr10k_0041_a,train,ppr10k
ppr10k_0043_a,test,ppr10k
ppr10k_0044_a,test,ppr10k
ppr10k_0048_a,train,ppr10k
ppr10k_0050_a,train,ppr10k
ppr10k_0052_a,train,ppr10k
ppr10k_0053_a,test,ppr10k
ppr10k_0054_a,train,ppr10k
ppr10k_0057_a,train,ppr10k
ppr10k_0059_a,train,ppr10k
ppr10k_0062_a,train,ppr10k
ppr10k_0065_a,train,ppr10k
ppr10k_0066_a,train,ppr10k
ppr10k_0071_a,train,ppr10k
ppr10k_0072_a,train,ppr10k
ppr10k_0073_a,train,ppr10k
ppr10k_0079_a,train,ppr10k
ppr10k_0081_a,train,ppr10k
ppr10k_0084_a,train,ppr10k
ppr10k_0086_a,test,ppr10k
ppr10k_0089_a,train,ppr10k
ppr10k_0090_a,train,ppr10k
ppr10k_0091_a,train,ppr10k
ppr10k_0093_a,train,ppr10k
ppr10k_0096_a,train,ppr10k
ppr10k_0097_a,train,ppr10k
ppr10k_0100_a,train,ppr10k
ppr10k_0105_a,train,ppr10k
ppr10k_0116_a,train,ppr10k
ppr10k_0119_c,train,ppr10k
ppr10k_0122_a,train,ppr10k
ppr10k_0127_a,train,ppr10k
ppr10k_0130_a,train,ppr10k
ppr10k_0131_a,train,ppr10k
ppr10k_0134_a,train,ppr10k
ppr10k_0135_a,train,ppr10k
ppr10k_0136_a,train,ppr10k
ppr10k_0137_a,train,ppr10k
ppr10k_0139_a,train,ppr10k
ppr10k_0141_a,train,ppr10k
ppr10k_0144_a,train,ppr10k
ppr10k_0146_a,train,ppr10k
ppr10k_0148_a,train,ppr10k
ppr10k_0149_a,train,ppr10k
ppr10k_0150_a,train,ppr10k
ppr10k_0151_a,train,ppr10k
ppr10k_0153_a,train,ppr10k
ppr10k_0156_a,train,ppr10k
ppr10k_0157_a,train,ppr10k
ppr10k_0158_a,train,ppr10k
ppr10k_0159_a,train,ppr10k
ppr10k_0160_a,train,ppr10k
ppr10k_0162_a,train,ppr10k
ppr10k_0164_a,train,ppr10k
ppr10k_0167_a,train,ppr10k
ppr10k_0169_a,train,ppr10k
ppr10k_0170_a,train,ppr10k
ppr10k_0172_a,train,ppr10k
ppr10k_0173_a,train,ppr10k
ppr10k_0174_a,train,ppr10k
ppr10k_0178_a,test,ppr10k
ppr10k_0179_a,train,ppr10k
ppr10k_0181_a,train,ppr10k
ppr10k_0183_a,train,ppr10k
ppr10k_0184_a,test,ppr10k
ppr10k_0185_a,train,ppr10k
ppr10k_0189_a,train,ppr10k
